StartDate,Value__kWh_,day_of_week,notes
9/21/2019 22:00:00,2,5,weekend
7/8/2018 16:00:00,2,6,weekend
9/26/2017 21:00:00,2.125,1,weekday
8/16/2017 22:00:00,2.125,2,weekday
6/27/2018 23:00:00,2.125,2,weekday
2/7/2020 23:00:00,2.125,4,weekday
8/24/2019 22:00:00,2.125,5,weekend
10/19/2019 20:00:00,2.125,5,weekend
8/8/2018 15:00:00,2.25,2,weekday
3/10/2016 22:00:00,2.25,3,weekday
6/21/2019 23:00:00,2.25,4,weekday
5/15/2017 19:00:00,2.375,0,weekday
6/17/2016 21:00:00,2.375,4,weekday
7/21/2019 14:00:00,2.375,6,weekend
8/28/2019 16:00:00,2.5,2,weekday
9/28/2019 18:00:00,2.5,5,weekend
12/5/2017 22:00:00,2.625,1,weekday
7/19/2019 14:00:00,2.625,4,weekday
3/6/2018 19:00:00,2.75,1,weekday
2/10/2019 18:00:00,2.875,6,weekend
7/29/2019 14:00:00,3.125,0,weekday
1/9/2018 14:00:00,3.125,1,weekday
9/6/2019 13:00:00,3.125,4,weekday
7/7/2018 15:00:00,3.25,5,weekend
10/16/2016 18:00:00,3.375,6,weekend
8/7/2017 18:00:00,3.5,0,weekday
8/7/2017 20:00:00,3.5,0,weekday
1/10/2018 18:00:00,3.625,2,weekday
8/29/2016 20:00:00,3.75,0,weekday
5/20/2020 19:00:00,3.75,2,COVID_lockdown
6/30/2016 19:00:00,4,3,weekday
2/7/2016 18:00:00,4.75,6,weekend
6/19/2016 15:00:00,5,6,weekend
10/8/2016 16:00:00,5.25,5,weekend
10/30/2017 13:00:00,0.25,0,weekday
6/4/2018 13:00:00,0.25,0,weekday
4/16/2018 3:00:00,0.25,0,weekday
4/30/2018 13:00:00,0.25,0,weekday
11/12/2018 15:00:00,0.25,0,weekday
3/25/2019 11:00:00,0.25,0,weekday
5/27/2019 5:00:00,0.25,0,vacation
6/1/2020 4:00:00,0.25,0,COVID_lockdown
2/3/2020 12:00:00,0.25,0,weekday
5/2/2017 2:00:00,0.25,1,weekday
3/14/2017 14:00:00,0.25,1,weekday
3/21/2017 11:00:00,0.25,1,weekday
5/23/2017 10:00:00,0.25,1,weekday
5/30/2017 11:00:00,0.25,1,weekday
6/13/2017 13:00:00,0.25,1,weekday
11/21/2017 9:00:00,0.25,1,weekday
5/1/2018 0:00:00,0.25,1,weekday
5/1/2018 10:00:00,0.25,1,weekday
5/22/2018 9:00:00,0.25,1,weekday
5/28/2019 9:00:00,0.25,1,vacation
9/1/2020 0:00:00,0.25,1,weekday
3/9/2016 6:00:00,0.25,2,weekday
3/9/2016 8:00:00,0.25,2,weekday
2/15/2017 13:00:00,0.25,2,weekday
3/22/2017 2:00:00,0.25,2,weekday
10/4/2017 13:00:00,0.25,2,weekday
6/14/2017 15:00:00,0.25,2,weekday
12/20/2017 3:00:00,0.25,2,vacation
8/1/2018 13:00:00,0.25,2,weekday
10/3/2018 4:00:00,0.25,2,weekday
4/18/2018 14:00:00,0.25,2,weekday
12/19/2018 0:00:00,0.25,2,weekday
2/20/2019 10:00:00,0.25,2,weekday
7/10/2019 13:00:00,0.25,2,weekday
11/10/2016 11:00:00,0.25,3,weekday
1/26/2017 8:00:00,0.25,3,weekday
2/2/2017 4:00:00,0.25,3,weekday
6/8/2017 11:00:00,0.25,3,weekday
10/26/2017 23:00:00,0.25,3,weekday
10/4/2018 13:00:00,0.25,3,weekday
2/21/2019 9:00:00,0.25,3,weekday
9/26/2019 12:00:00,0.25,3,weekday
1/16/2020 15:00:00,0.25,3,weekday
12/3/2020 15:00:00,0.25,3,weekday
12/23/2016 5:00:00,0.25,4,weekday
2/17/2017 1:00:00,0.25,4,weekday
11/3/2017 9:00:00,0.25,4,weekday
3/31/2017 13:00:00,0.25,4,weekday
6/23/2017 11:00:00,0.25,4,weekday
7/7/2017 13:00:00,0.25,4,weekday
2/2/2018 3:00:00,0.25,4,weekday
3/23/2018 11:00:00,0.25,4,weekday
4/13/2018 14:00:00,0.25,4,weekday
11/1/2019 12:00:00,0.25,4,weekday
3/15/2019 17:00:00,0.25,4,weekday
3/15/2019 18:00:00,0.25,4,weekday
9/20/2019 14:00:00,0.25,4,weekday
2/14/2020 0:00:00,0.25,4,weekday
7/3/2020 4:00:00,0.25,4,weekday
11/19/2016 1:00:00,0.25,5,weekend
3/12/2016 4:00:00,0.25,5,weekend
12/24/2016 17:00:00,0.25,5,weekend
9/2/2017 0:00:00,0.25,5,weekend
7/29/2017 6:00:00,0.25,5,weekend
2/24/2018 4:00:00,0.25,5,weekend
2/3/2018 1:00:00,0.25,5,weekend
1/26/2019 13:00:00,0.25,5,weekend
11/9/2019 14:00:00,0.25,5,weekend
1/25/2020 8:00:00,0.25,5,weekend
9/5/2020 14:00:00,0.25,5,weekend
7/2/2017 3:00:00,0.25,6,weekend
11/5/2017 13:00:00,0.25,6,weekend
11/19/2017 4:00:00,0.25,6,weekend
6/3/2018 9:00:00,0.25,6,weekend
3/18/2018 12:00:00,0.25,6,weekend
10/28/2018 6:00:00,0.25,6,weekend
2/3/2019 1:00:00,0.25,6,weekend
1/23/2017 5:00:00,0.375,0,weekday
8/7/2017 8:00:00,0.375,0,weekday
10/16/2017 8:00:00,0.375,0,weekday
8/6/2018 12:00:00,0.375,0,weekday
8/27/2018 9:00:00,0.375,0,weekday
11/19/2018 8:00:00,0.375,0,weekday
9/23/2019 15:00:00,0.375,0,weekday
11/18/2019 22:00:00,0.375,0,weekday
3/23/2020 8:00:00,0.375,0,COVID_lockdown
6/28/2016 13:00:00,0.375,1,weekday
1/12/2016 14:00:00,0.375,1,weekday
10/3/2017 10:00:00,0.375,1,weekday
4/18/2017 17:00:00,0.375,1,weekday
12/3/2019 11:00:00,0.375,1,weekday
3/5/2019 2:00:00,0.375,1,weekday
10/22/2019 16:00:00,0.375,1,weekday
2/12/2019 1:00:00,0.375,1,weekday
3/3/2020 1:00:00,0.375,1,weekday
8/4/2020 3:00:00,0.375,1,weekday
4/14/2020 14:00:00,0.375,1,COVID_lockdown
4/5/2017 11:00:00,0.375,2,weekday
8/9/2017 4:00:00,0.375,2,weekday
11/22/2017 10:00:00,0.375,2,weekday
6/6/2018 6:00:00,0.375,2,weekday
3/7/2018 16:00:00,0.375,2,weekday
4/6/2017 5:00:00,0.375,3,weekday
2/1/2018 10:00:00,0.375,3,weekday
6/21/2018 17:00:00,0.375,3,weekday
1/3/2019 21:00:00,0.375,3,weekday
3/28/2019 0:00:00,0.375,3,weekday
10/17/2019 0:00:00,0.375,3,weekday
7/2/2020 7:00:00,0.375,3,weekday
8/12/2016 17:00:00,0.375,4,weekday
12/16/2016 8:00:00,0.375,4,weekday
5/5/2017 3:00:00,0.375,4,weekday
4/13/2018 17:00:00,0.375,4,weekday
12/21/2018 1:00:00,0.375,4,weekday
1/18/2019 9:00:00,0.375,4,weekday
11/29/2019 5:00:00,0.375,4,weekday
2/28/2020 13:00:00,0.375,4,weekday
3/6/2020 12:00:00,0.375,4,weekday
6/19/2020 9:00:00,0.375,4,COVID_lockdown
6/25/2016 7:00:00,0.375,5,weekend
12/10/2016 9:00:00,0.375,5,weekend
1/28/2017 9:00:00,0.375,5,weekend
10/14/2017 14:00:00,0.375,5,weekend
11/3/2018 17:00:00,0.375,5,weekend
8/25/2018 9:00:00,0.375,5,weekend
3/2/2019 4:00:00,0.375,5,weekend
3/30/2019 17:00:00,0.375,5,weekend
5/4/2019 18:00:00,0.375,5,weekend
6/22/2019 8:00:00,0.375,5,weekend
2/9/2019 9:00:00,0.375,5,weekend
5/16/2020 6:00:00,0.375,5,COVID_lockdown
9/18/2016 8:00:00,0.375,6,weekend
4/10/2016 4:00:00,0.375,6,weekend
4/30/2017 19:00:00,0.375,6,weekend
4/8/2018 8:00:00,0.375,6,weekend
4/8/2018 14:00:00,0.375,6,weekend
10/21/2018 3:00:00,0.375,6,weekend
10/6/2019 12:00:00,0.375,6,weekend
