Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
2/3/2017,8.705,68,50,9.8,0
3/15/2019,6.419,64,52,13.6,0
7/3/2018,7.658,66,53,8.9,0
2/26/2020,10.203,57,54,15,0
1/28/2017,12.155,60,54,9.1,0
1/12/2019,11.846,67,54,10.1,0.07
12/1/2018,11.806,48,57,14.5,0.96
12/19/2016,14.291,49,59,11,0
6/3/2018,8.335,73,59,9.4,0
3/16/2019,6.34,63,60,6.8,0
1/19/2020,9.069,62,61,13.5,0.01
11/19/2016,9.718,64,61,11.8,0.04
2/24/2019,12.239,68,61,9.3,0
2/25/2017,9.965,69,61,8.6,0
9/12/2016,12.066,50,63,9.6,0
9/2/2017,9.125,71,64,8.6,0
3/20/2018,13.514,72,64,10.8,0
6/3/2020,8.83,73,64,7.8,0
10/28/2017,7.767,62,65,11.1,0
1/20/2020,13.162,62,65,7.9,0
12/30/2016,13.559,55,66,6.8,0
12/3/2018,13.114,66,66,9.5,0.01
1/27/2017,10.821,56,67,6,0
12/20/2016,12.721,58,68,3.8,0
12/21/2018,11.061,64,68,7.8,0
11/30/2016,14.331,69,68,8.9,0
1/23/2017,9.514,72,68,7,0
5/3/2019,13.584,50,69,9.4,0
4/13/2020,10.324,70,69,12.9,0.01
11/26/2018,12.158,58,70,10.2,0
1/29/2017,11.348,68,70,8.2,0
4/5/2017,9.709,76,70,15.5,0.2
2/15/2017,8.585,63,71,11.6,0.78
8/3/2018,8.153,66,71,7.4,0
7/1/2020,9.055,67,71,6,0
4/15/2018,8.923,69,71,9.9,0.17
9/10/2016,23.768,82,71,7.9,0
1/1/2018,16.583,41,72,14.8,0
3/3/2017,9.764,70,72,9.5,0
5/5/2017,21.608,81,72,8.2,0
8/2/2019,13.26,43,73,15.9,0.02
12/17/2019,10.858,54,73,14.7,0.06
1/30/2018,11.864,61,73,6.5,0
1/24/2018,10.734,66,73,3.9,0
1/29/2018,11.148,67,73,10,0
4/19/2018,13.32,77,73,10.8,0
11/6/2020,27.731,92,73,5.5,0
2/1/2018,14.091,34,74,9.9,0
12/18/2016,14.807,43,74,20,0
12/29/2017,11.676,54,74,6.9,0
6/3/2019,10.573,57,74,8.9,0
12/15/2016,10.418,58,74,9.8,0
1/26/2017,9.024,59,74,8.4,0
3/17/2019,10.757,64,74,5.3,0
2/18/2019,13.322,65,74,14.5,0.06
2/2/2020,12.486,76,74,7.2,0
10/16/2017,12.908,77,74,11.6,0
6/4/2017,7.956,78,74,3.1,0
1/17/2018,20.755,38,75,8.7,0.18
7/1/2017,18.608,43,75,10.6,0.27
3/1/2018,13.412,47,75,6,0
2/2/2018,8.86,61,75,14.3,0
