predicted_total_kwh_per_day,Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
15.71682993,2/3/2017,8.705,68,50,9.8,0
12.25724017,3/15/2019,6.419,64,52,13.6,0
14.1499988,7/3/2018,7.658,66,53,8.9,0
6.967281208,2/26/2020,10.203,57,54,15,0
9.798783903,1/28/2017,12.155,60,54,9.1,0
14.63945134,1/12/2019,11.846,67,54,10.1,0.07
0.6110555712,12/1/2018,11.806,48,57,14.5,0.96
1.359892194,12/19/2016,14.291,49,59,11,0
18.5117105,6/3/2018,8.335,73,59,9.4,0
11.67175593,3/16/2019,6.34,63,60,6.8,0
10.07174742,1/19/2020,9.069,62,61,13.5,0.01
11.6964464,11/19/2016,9.718,64,61,11.8,0.04
14.815915,2/24/2019,12.239,68,61,9.3,0
15.60696581,2/25/2017,9.965,69,61,8.6,0
1.885839885,9/12/2016,12.066,50,63,9.6,0
16.75804949,9/2/2017,9.125,71,64,8.6,0
17.19930667,3/20/2018,13.514,72,64,10.8,0
18.26778001,6/3/2020,8.83,73,64,7.8,0
10.39553765,1/20/2020,13.162,62,65,7.9,0
10.00955847,10/28/2017,7.767,62,65,11.1,0
5.494508933,12/30/2016,13.559,55,66,6.8,0
12.94377277,12/3/2018,13.114,66,66,9.5,0.01
6.210237575,1/27/2017,10.821,56,67,6,0
7.801449969,12/20/2016,12.721,58,68,3.8,0
11.55868318,12/21/2018,11.061,64,68,7.8,0
14.95909215,11/30/2016,14.331,69,68,8.9,0
17.30812088,1/23/2017,9.514,72,68,7,0
1.385659491,5/3/2019,13.584,50,69,9.4,0
15.0979893,4/13/2020,10.324,70,69,12.9,0.01
6.854723587,11/26/2018,12.158,58,70,10.2,0
14.1621392,1/29/2017,11.348,68,70,8.2,0
18.97731252,4/5/2017,9.709,76,70,15.5,0.2
10.29827007,2/15/2017,8.585,63,71,11.6,0.78
12.75801426,8/3/2018,8.153,66,71,7.4,0
13.63349801,7/1/2020,9.055,67,71,6,0
14.61265521,4/15/2018,8.923,69,71,9.9,0.17
24.00359082,9/10/2016,23.768,82,71,7.9,0
-5.887393184,1/1/2018,16.583,41,72,14.8,0
15.24380286,3/3/2017,9.764,70,72,9.5,0
23.1734034,5/5/2017,21.608,81,72,8.2,0
-4.689947274,8/2/2019,13.26,43,73,15.9,0.02
3.236140493,12/17/2019,10.858,54,73,14.7,0.06
9.158713552,1/30/2018,11.864,61,73,6.5,0
13.00541095,1/24/2018,10.734,66,73,3.9,0
12.97625601,1/29/2018,11.148,67,73,10,0
19.94593985,4/19/2018,13.32,77,73,10.8,0
31.1844858,11/6/2020,27.731,92,73,5.5,0
-10.41745564,2/1/2018,14.091,34,74,9.9,0
-5.276141648,12/18/2016,14.807,43,74,20,0
4.076757097,12/29/2017,11.676,54,74,6.9,0
5.955373702,6/3/2019,10.573,57,74,8.9,0
6.553434922,12/15/2016,10.418,58,74,9.8,0
7.428918675,1/26/2017,9.024,59,74,8.4,0
11.33592532,3/17/2019,10.757,64,74,5.3,0
10.94567667,2/18/2019,13.322,65,74,14.5,0.06
19.58616454,2/2/2020,12.486,76,74,7.2,0
19.76206104,10/16/2017,12.908,77,74,11.6,0
21.49393609,6/4/2017,7.956,78,74,3.1,0
-7.495155154,1/17/2018,20.755,38,75,8.7,0.18
-4.172005542,7/1/2017,18.608,43,75,10.6,0.27
-0.848395318,3/1/2018,13.412,47,75,6,0
8.043121281,2/2/2018,8.86,61,75,14.3,0
16.11746401,4/23/2017,8.829,72,75,11.8,0
17.52426637,4/19/2019,8.197,74,75,13.2,0.76
21.87436631,10/22/2019,11.121,79,75,5.7,0.35
24.42098187,11/10/2017,16.865,83,75,7.4,0
24.78146185,4/30/2020,14.783,83,75,4.5,0.05
30.74435709,6/13/2020,33.308,92,75,7.7,0
-2.831489029,9/2/2019,14.519,45,76,10,0
16.75379095,12/21/2016,10.512,72,76,5.8,0
29.97447891,12/6/2020,34.504,91,76,7.5,0
29.82470548,8/5/2020,20.59,92,76,14.6,0
4.01506938,1/29/2020,11.73,55,77,12,0.51
8.560909898,12/31/2019,5.042,60,77,2.7,0
10.73604149,12/12/2017,10.487,64,77,8.1,0
12.00453503,11/19/2017,9.817,66,77,9.3,0
12.6146581,3/12/2018,12.558,67,77,10.1,0
18.07399769,5/3/2020,8.434,75,77,11.9,0.11
